angle,peak_position,std,gauss_center,centroid,temp,humid
-29.99961,-396.775744,1.0737959062754836,4805.644440000001,-422.83939300000003,22.68,50.8
-30.99961,-207.89498200000003,0.7378813949653368,4653.856245000001,-262.97024799999997,22.75,50.8
-31.9996,-30.271741150000004,0.6645373914248371,4540.796060000001,-150.03997800000002,22.68,50.8
-32.9996,12.251526,1.3066695559426642,4458.536635000001,-67.48536375,22.75,50.9
-33.99959,-33.9731321,1.4918522949200403,4396.802945,-5.75985105,22.68,50.8
-34.99959,93.392297,1.294937683892933,4350.182305,40.7316522,22.75,50.8
-35.99958,172.11820149999997,1.7431471069627917,4317.466234999999,75.37181419999999,22.75,50.8
-36.99958,173.20230699999996,1.499052534673479,4299.209855000001,98.94232155,22.75,50.9
-37.99957,192.8914925,1.470366228981324,4288.138744999999,110.10550525000001,22.68,50.9
-38.99957,229.49093050000005,1.081969368228488,4276.3497449999995,121.74962244999999,22.75,50.8
-39.99956,148.97120325,61.10674759548298,4278.91156,119.2273567,22.68,50.9
-40.99956,128.2354135,1.6494050313977617,4274.415655000001,122.7228404,22.68,50.9
-41.99955,-91.77557350000002,1.6720698844890585,4277.703104999999,120.66705445,22.68,50.8
-42.99955,165.25526100000002,2.6782139974746246,4279.65508,118.48153144999996,22.68,50.9
-43.99954,171.4099255,1.1241586037053453,4277.773090000001,121.43721950000001,22.68,51.0
-44.99954,233.0970565,1.3685630918129994,4281.347075,119.26905550000001,22.68,50.9
-45.99953,-38.721203450000004,1.9036943833508941,4285.9143699999995,114.96727375000003,22.68,50.8
-46.99953,-23.184192000000003,1.9053180259839038,4291.990825,108.016541,22.75,50.9
-47.99952,-1.9079955434999996,1.3367238044189578,4297.043035000001,100.32867475,22.68,50.9
-48.99952,20.306653099999995,1.004459115657621,4298.202955,101.27742975000001,22.68,51.0
-49.99951,4.89107676,2.0011346281393396,4314.163605,87.9359735,22.68,51.0
